yy;mm;dd;5813_2;5817_1;5820;5832;5833;5849_2;5863;5868_1;5870;5880_1;5882_1;5884;5887;5888;5889;5893;5919;5924;5926;5933;5934;5937_2;5941_1;6933;7136;7144;7203_1;14233_1;14437_1
1961;5;29;NA;NA;0;4;NA;1.4;0;18.4;0;2.4;2.6;0;0;3.2;0;NA;4.2;12.6;0.1;4.4;0;7;5.4;12.8;0;0;7;5.8;0.8
1961;5;30;NA;NA;0;0;NA;0.2;0;0;0;0;0;0;0;0.2;0;NA;0;0;0;0;0;0.2;0.4;0.2;0;0;0;0;0
1961;5;31;NA;NA;0.6;3.5;NA;9.2;8.8;21.4;3.4;1.4;7.4;0.4;5;25.6;0.2;NA;4;3.2;0.9;18.4;2.2;5.6;5;12.4;6.4;3.6;27;5.8;0
1961;6;1;NA;NA;18.8;23;NA;38.8;31.8;46.2;38.2;14.6;24;37.2;22;26;22;NA;32;26;19.8;17.4;37.8;42.6;29.6;23.4;34.2;34.6;33;37;23
1961;6;2;NA;NA;16.4;47;NA;24.8;70.8;61;9.6;0.4;32.8;30.6;67.6;22.2;20.8;NA;7;14.6;20.8;17.4;39.2;47;26;25.8;2.8;51.8;203.4;60.4;54
1961;6;3;NA;NA;0;5;NA;3.4;1.2;13.4;0;10;18.2;0.2;1;2.4;0;NA;39;3;0;56.8;13.8;5;5.8;7;0;0;1;2.6;23
1961;6;4;NA;NA;0;0;NA;5;0.8;14.4;0;3.8;7.6;0;1.2;2.4;0.4;NA;4;2.5;0;4.4;0;8.4;2.8;13.6;0.2;0;2;5.2;5
1961;6;5;NA;NA;0;0;NA;6;0.2;7.8;1;1.4;2.2;0.1;2.2;1.2;0;NA;1.7;2.2;2;1;0.6;12.4;3.2;9.2;2.6;0;18;2.4;0
1961;6;6;NA;NA;0;4;NA;15;2;4.8;0;0;13.2;0;1;10;0;NA;1.5;41;0.3;0.4;0;0;3;1.4;5.4;0;4;21.6;0
1961;6;7;NA;NA;0;3;NA;12.4;0;0;0;0.6;0;0;0;0.4;0;NA;1;3;0;0.2;0;0.2;7.6;0;0;0;0;0;0
1961;6;8;NA;NA;0;0;NA;6.8;0.4;5;0;1.2;5.6;0;1.2;2.4;0;NA;0;2.2;0.4;1.6;0;0;3.6;3.6;0;2.8;4.6;3.4;13
1961;6;9;NA;NA;0;0;NA;0.4;0.8;0;0;0;2.8;0.1;0.6;0.2;0;NA;0;0;0;0;0.2;0;0;0;0;0;0;0;2
1961;6;10;NA;NA;1.2;0;NA;17.4;1.4;4.2;0;0;2.2;1;2.6;1.8;2.6;NA;0;3.2;1.6;0;9;0;1.6;0.4;20.4;5.7;6;5.6;4
1961;6;11;NA;NA;0;18;NA;0;0;1.4;0;6.4;4.8;0;0;0;0;NA;6.3;11.4;0;1.2;0;4.4;6;5.8;0;8.2;11.6;4;0
1961;6;12;NA;NA;0;0;NA;0;0;0;0;0;0;0;0;0;0;NA;0.5;0;0;0;0;0;0;0;0;0;0;0;0
1961;6;13;NA;NA;0;0.5;NA;0;1.8;0;0;0;0;0.1;0;0;0.6;NA;0;0;0;0;0;0;0.2;0;0;0;0;0;0
1961;6;14;NA;NA;0;1;NA;0;3.4;2.4;0;0;0.2;0.1;0;0.2;0;NA;0;0.2;0;0;0.2;0;0.4;0.6;0;0;2.4;1.2;0
1961;6;15;NA;NA;0;0;NA;0.6;0;0;0;0;0;0;0;0;0;NA;0;0;0;0.2;0;0;0;0;0;0;0.8;0.2;0
