yy;mm;dd;aeronautica_6827;aeronautica_6828;aeronautica_6856;aeronautica_6869;aeronautica_6874;aeronautica_6881;aeronautica_6883;aeronautica_6891;aeronautica_6919;aeronautica_6923;calabria_146;calabria_7;calabria_34;calabria_127;calabria_140;calabria_191;calabria_196;calabria_212;calabria_213;calabria_246;calabria_294;calabria_386;sicilia_11806;sicilia_11807;sicilia_11839;sicilia_11842;sicilia_11843;sicilia_11857;sicilia_11864;sicilia_11876;sicilia_11888;sicilia_11933;sicilia_13881;aeronautica_6812
1971;3;24;0;0;0;0;1;0;0.2;0.1;0;0;0;0;0;0;0;13;24;14.2;10;0;0;0;7.2;6.2;0;13.2;2.8;7.6;0.9;4.6;0;0.8;3;NA
1971;3;25;0;0.2;0;0;0;0;0;1.8;0;0;0;0;0;0;0.6;0;0;5.2;1.8;0;0;0.2;0;0;0;0;0;0;0;0;0;0.2;0;NA
1971;3;26;2;0.6;0;0;0;0.8;0;0;0;0;10.4;1.5;2;9.7;3.7;9;16;0.2;0;0;1.4;0.7;0;0;0;0;0;0;0;0.6;0.4;0.4;0;NA
1971;3;27;12.4;4.6;0.6;0.4;2;20.2;0;0;1.4;2.4;8.5;26.5;8.4;0;12.9;8.9;10.1;6.8;7;21.9;16;0.2;0.4;0;0;7.4;1.4;10.4;0;0.4;0;5.6;0;NA
1971;3;28;0.2;1.2;3.4;3.6;8;7;0;0.8;0.4;2.2;7.5;16;20;8.4;10.4;1;0.6;0.8;0;3.4;10;2.7;2.8;1;0;2;3.4;2.4;2.9;0.2;0.4;2.6;0;NA
1971;3;29;0.1;3.2;19.8;16.2;8;3.6;0.2;6.8;0.2;0.1;0;0;0.4;0;0;0;0;1;3.6;8.1;9.3;2.6;2.8;0.2;5;3;0.2;7.8;0;3.4;2.8;3.4;0;NA
1971;3;30;0;5.8;1.6;6.2;2.6;12.8;0;0;0;0;1;0;4.9;0;0.8;0.7;2.2;4;1.8;6.3;11.4;2.2;0;0;0;0;0;20.6;0;2;0;7.8;0;NA
1971;3;31;0.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.6;2.1;0;0;0;0;0;0;0;3;0;0;0;0;0;NA
1971;4;1;9.4;7;0;0;0;0;0;0;13.6;4.4;0;0;0;0;0;0;0;0.4;0;3;0;0;0;0;0;0;0;4;0;0;0;0;0;NA
1971;4;2;16.2;3.1;1.2;0;6.2;3;2.4;0;1.6;0.2;5.8;2;0.2;3.4;8.2;0;0;6.6;0.9;0;0;0;10.8;12.8;7.5;0;0;0;0;0.4;4.2;1;7.2;NA
