yy;mm;dd;14158_1;14246_1;14271;9573;9317;14444;9068;9101;9167;9177;9191;9192;9230;9244;9287;9289;9310;9404
1961;3;19;0;0;0;0;0;0;NA;0;NA;0;NA;NA;0;0;0;NA;NA;0
1961;3;20;7;4.2;4;7.8;3.4;5;NA;10;NA;5.2;NA;NA;6;7.4;7.2;NA;NA;7.4
1961;3;21;0;0;0;0;0;0;NA;0;NA;0;NA;NA;0;0;0;NA;NA;0
1961;3;22;0.8;0;0.6;2.6;1.2;0;NA;1;NA;0;NA;NA;4;5.8;3.4;NA;NA;12.4
1961;3;23;0;0;2.2;6.2;0;0;NA;3.2;NA;0;NA;NA;0;0;0;NA;NA;0.6
1961;3;24;0;0;0;0;0;0;NA;0;NA;0;NA;NA;0;0;0;NA;NA;0
1961;3;25;0;0;0;0;0;0;NA;0;NA;0;NA;NA;0;0;0;NA;NA;0
1961;3;26;0;0;0;0;0;0;NA;0;NA;0.2;NA;NA;0;0;0;NA;NA;0
1961;3;27;0;0;0;0;0;0;NA;0;NA;0;NA;NA;0;0;0;NA;NA;0
1961;3;28;0;0;0;0;0;0;NA;0;NA;0;NA;NA;0;0;0;NA;NA;0
1961;3;29;0;0;0;0;0;0;NA;0;NA;0;NA;NA;0;0;0;NA;NA;1
1961;3;30;0;0;0;0;0;0;NA;0;NA;0;NA;NA;0;0;0;NA;NA;0
1961;3;31;0;0;0;0;0;0;NA;0;NA;0;NA;NA;0;0;0;NA;NA;0
1961;4;1;0;0;0;0;0;0;NA;0;NA;0;NA;NA;0;0;0;NA;NA;0
1961;4;2;0;0;0;0;0;0;NA;0;NA;0.2;NA;NA;0;0;0;NA;NA;0
1961;4;3;0.2;1;0;0;0;0;NA;0;NA;0.6;NA;NA;0;0;0;NA;NA;0
1961;4;4;0.6;0;0;0;0;0;NA;0;NA;0;NA;NA;0;0;0;NA;NA;0
1961;4;5;0;0;0;0;0;0;NA;0;NA;0;NA;NA;0;0;0;NA;NA;0
1961;4;6;0;0;0;0;0;0;NA;0;NA;0;NA;NA;0;0;0;NA;NA;0
