yy;mm;dd;aeronautica_6709;aeronautica_6721;aeronautica_6729;aeronautica_6768;aeronautica_6769;bolzano_5;bolzano_23;bolzano_102;bolzano_150;bolzano_172;emiliaromagna_9573;emiliaromagna_14158;emiliaromagna_14246;emiliaromagna_14271;emiliaromagna_9177;emiliaromagna_9230;emiliaromagna_9578;friuliveneziagiulia_2;friuliveneziagiulia_7;friuliveneziagiulia_12;friuliveneziagiulia_14;friuliveneziagiulia_15;friuliveneziagiulia_21;friuliveneziagiulia_47;liguria_5884;liguria_14437;lombardia_6031;piemonte_5649;trentino_6510;trentino_6541;trentino_6638;trentino_6576;trentino_6598;trentino_6615;valledaosta_26;valledaosta_44;valledaosta_83;veneto_5677;veneto_5720;aeronautica_6771
1971;2;22;0;0;0;0;0;0;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;0;NA;0;0;0;0;0;NA;0
1971;2;23;0;0;0;0;0;0;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;0;NA;0;0;0;0;0;NA;0
1971;2;24;0;0;0;0;0;0;NA;1.6;0;0;4;2;0;0.8;0;0;0;0;0;0.2;0;0;0;0;0;0;0;0;0;0;NA;0;NA;0;0;0;0;0;NA;0
1971;2;25;0;0;0;0;0;0;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;0;NA;0;0;0;0;0;NA;0
1971;2;26;0;0;0;0;0;0;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;0;NA;0;0;0;0;0;NA;0
1971;2;27;0;0;0;0;0;1.7;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;0;NA;0;0;0;0;0;NA;0
1971;2;28;0;0;0;0;0;0;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;0;NA;0;0;0;0;0;NA;0
1971;3;1;0;0;0;0.2;0.8;0;NA;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;0;NA;0;0;0;0;0;NA;0
1971;3;2;0;0;0;0;0;0;NA;0;0;0;0;0;0;0;0;0;1.3;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;0;NA;0;0;0;0;0;NA;0
1971;3;3;0;0;0;0;0;0;NA;0;0;0;0;0;0;0;0;0;0.7;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;0;NA;0;0;0;0;0;NA;0
1971;3;4;0;0;0;0;0;0;NA;0;0;0;0;0;0;0;0.2;0;0.5;0;0;0;0;0;0;0;0;4;0.4;0;0;0;NA;0;NA;0;0;0;0;0;NA;0
1971;3;5;3.2;0.1;0.1;0.1;0;0;NA;0;0;0;5;0;0;0;0;0;1;0.2;0.8;0;0;0;0;0;0;0;0;0;0;0;NA;0;NA;0;0;2.8;0;0;NA;0
1971;3;6;0;0;0.1;2;4.8;0;NA;0;0;0;10;0.8;0;1.4;0;6;13.5;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;0;NA;0;0.6;0.6;0;0;NA;0
1971;3;7;0;0;0.6;0.1;0;0;NA;0;0;0;0;0.6;NA;0;NA;0;0;1.1;0.4;0;0;0.2;0.8;1.7;0;0;0;0;0;0;NA;2.8;NA;0;0;0;0;0;NA;0
1971;3;8;0;0;0;0;0.1;0;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;0;NA;0;0;0;0;0;NA;0
1971;3;9;0;0;0;0;0;0;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;0;NA;0;0;0;0;0;NA;0
1971;3;10;0;0;0;0;0;0;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;0;NA;0;0;0;0;0;NA;0
1971;3;11;0;0;0;0;0;0;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;0;NA;0;0;0;0;0;NA;0
1971;3;12;0;0;0;0;0;0;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;0;NA;0;0;0;0;0;NA;0
1971;3;13;0;0;0;0;0;0;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;0;NA;0;0;0;0;0;NA;0
1971;3;14;4;0;0.6;0;0.8;0;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16.6;0;0;0.4;0;0;NA;0;NA;0;1;2;4;0;NA;10
1971;3;15;2.4;1;0.4;0;0;0.2;NA;0;0;0;0;0;0;0;0;0;0;0;2.2;12.2;7.2;4.4;1;0;1;0;0;0.2;0;0.2;NA;0;NA;0;1;1;5;0;NA;9
1971;3;16;2.4;12.6;1.2;2.2;4.4;2.9;NA;0;5;1.5;6.2;2.8;2.6;0.6;1.8;10;1.4;2.3;1.4;2.7;1.2;1.8;0.2;0;18.4;5;12.2;2;11.9;2.5;NA;16.4;NA;1.2;2;5.2;5;3;NA;0.6
1971;3;17;0;0;0;0;0.1;0.9;NA;3.4;0;4.3;2.2;6;2.4;5;0;5;2.2;2.8;2.6;0;1.2;3.2;2.8;4;0;3.2;1.6;0;0;0;NA;0;NA;10;0;0;0;0.2;NA;0
1971;3;18;4.8;0.4;0;0;0;0;NA;0;0.7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;NA;0;NA;0;3.8;0;0;0;NA;3.6
1971;3;19;4.4;33.6;12.2;0.1;0;9.5;NA;1.8;9.4;0.5;7.4;0;0;0;0;53.7;0.3;34.1;23.6;1.7;12.4;19.2;47.2;22;76.2;109;59.4;49.2;7.2;1.6;NA;10.8;NA;15.3;12.4;30.2;16;13.8;NA;9.6
1971;3;20;18;4.4;10.2;0;0;22.1;NA;12.4;39;22.2;26.2;3.6;1;20.2;11.6;92.3;1.7;68;44.6;NA;19.6;13.4;112.4;45.5;28.3;82;13;6;6.5;21.2;NA;49.2;NA;30.5;0;1.4;0;35.8;NA;8.2
1971;3;21;33.2;0;4.8;0;0;13.1;NA;2.7;9.4;23.5;0;0;0;0;0;0;0;97;21.2;12.2;9.6;12.4;23.2;10.5;35.5;16.6;45.4;156;1.8;3.7;NA;20.5;NA;17.5;60.6;181.2;63;31.2;NA;15.4
1971;3;22;11.2;7;8.4;0;0.1;12.5;NA;8.8;10.7;0.4;8.2;2.4;1.4;1.2;3;20;1;35.2;25.8;20.6;34;35.8;19.6;22.6;33.7;33.4;30;59.4;3.5;27.1;NA;21.3;NA;2.6;76.2;203.2;75;16.8;NA;18.6
1971;3;23;0;0;0;0;0;0;NA;1.1;0.5;0;7;0;0;0.4;1.8;8;0;0.3;0.2;12.4;18.8;1.4;4.4;6;1.5;4;0.4;0.2;0;0;NA;3.4;NA;0;0;0;0;0;NA;0
1971;3;24;0;2.4;0.6;0;0.2;0;NA;0;0;0;0;0;0;0;0;0;0;3.4;0.4;0;2;0.2;10.4;0;0.1;0;2.2;0;0;0;NA;2.4;NA;0;0;0.6;0;0;NA;0
1971;3;25;0;0;0;0;0;0;NA;0;0;0;0.2;0;0;0;0.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;0;NA;0;0;0;0;0;NA;0
1971;3;26;0;0.2;9;3.2;2.6;5;NA;4;5.3;7.7;6.4;4.2;4.2;8.6;1.6;10;0;7.3;5.2;4.2;3.2;6.8;4.4;2.5;0;0;0;0;2.9;6;NA;0;NA;7.5;0;0;0;4.4;NA;0
